Pasanen;PSN
Pikkusuo;PSU
Patokangas;PTG
Partaharju;PTH
Poitti;PTI
Paimenportti;PTI
Petäjäjärvi;PTJ
Pintuslampi;PTL
Paltainen;PTN
Paltamo;PTO
Pietarsaari;PTS
Pintuinen;PTU
Putikko;PU
Puujoki;PUJ
Punkaharju;PUN
Puolukkasuo;PUO
Purola;PUR
Paukaneva;PVA
Puhos;PUS
Petäjävesi;PVI
Palvajärvi;PVJ
Porvoon keskusta;PVK
Päävaara;PVR
Pyhäjärvi;PY
Pyhäkumpu erkanemisvaihe;PYE
Pylväsjoki;PYJ
Pyhäkumpu;PYK
Pynttäri;PYN
Pyssy;PYS
Pyöree;PYÖ
Pälkjärvi;PÄI
Pälsaari;PÄL
Päsinselkä;PÄS
Petäjävesi;PVI
Perniö;PÖ
Pöljä;PÖJ
Pölläkkälä;PÖL
Ruoholahti;RL
Rastila;RS
Rautatientori;RT
Raemäki;RAE
Rauha;RAH
Raisio;RAI
Rahola;RAL
Rauman satama;RAS
Rautaruukki;RAT
Raitoo;RAT
Rautu;RAU
Raudanjoki;RDI
Raudanlahti;RDL
Riste;RE
Retretti;REE
Reitkalli;REK
Ruha;RHA
Raahe;RHE
Rahkee;RHK
Rauhalahti;RHL
Rahkmala;RHM
Riihivuori;RHV
Riihimäki;RI
Riihimäki r;RII
Rikkilä;RIK
Rieskala;RIL
Riihimäki lajittelu;RILA
Rimmi;RIM
Raunio;RIO
Ristimäki;RIS
Riuttanen;RIU
Riihimäen tavara-asema;RIT
Rajajoki;RJ
Rajaperkiö;RJP
Ristijärvi;RJR
Rajasuo;RJS
Rajasuvanto;RJS
Ristijärvi;RJV
Rautjärvi;RJÄ
Ruukki;RKI
Rekola;RKL
Rukkamäki;RKM
Ruokosaari;RKS
Raudaskylä;RKÄ
Rautalahti;RL
Rahkola;RLA
Relletti;RLL
Ratikylä;RLÄ
Rajamäki;RM
Rauma;RMA
Rantasalmi;RMI
Rasimäki;RMK
Rummukka;RMM
Rautamo;RMO
Rauhamäki;RMÄ
Ryönönjoki;RNJ
Ristinummi;RNM
Rauma;RMA
Runni;RNN
Ristinpohja;RNP
Rantoo;RNT
Ristonaho;RO
Rovaniemi;ROI
Roikonkoski;ROK
Rotkola;ROT
Rouanaho;ROU
Rantaperkiö;RP
Riippa;RPA
Rautpohja;RPH
Raippo;RPO
Rapasaari;RPS
Rautuvaara;RRA
Ruskeasanta;RS
Ruusumäki;RSM
Ruosniemi;RSN
Raasepori;RSP
